2018-04-15 20:06:41,958 [DEBUG|PoliceForce/1514404225|TestSearchForFire] Time:1
2018-04-15 20:06:41,959 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Time:1
2018-04-15 20:06:41,960 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Targets: []
2018-04-15 20:06:41,960 [DEBUG|PoliceForce/1514404225|TestSearchForFire] unsearchedBuildingIDs:[32773, 18565, 26502, 23305, 14860, 13454, 26255, 13072, 34320, 22418, 21524, 17556, 18964, 26519, 19100, 22559, 16928, 25632, 16545, 29730, 13733, 16037, 11302, 20651, 13099, 36011, 10924, 12077, 9902, 18351, 15792, 14513, 17202, 26550, 11064, 15928, 13625, 16955, 18622, 15819, 24012, 12108, 25550, 29649, 28754, 9683, 22355, 16982, 18262, 18648, 20570, 24666, 29146, 15711, 19815, 17256, 23278, 24178, 26228, 18548, 24694, 10870, 12278, 34295, 26872, 15738, 16379]
2018-04-15 20:06:41,960 [DEBUG|PoliceForce/1514404225|TestSearchForFire] best path is:[4551, 2877, 32781, 32782, 32784, 32783, 4974, 12352, 32773]
2018-04-15 20:06:41,960 [DEBUG|PoliceForce/1514404225|TestSearchForFire] choosed:4974
2018-04-15 20:06:50,876 [DEBUG|PoliceForce/1514404225|TestSearchForFire] Time:2
2018-04-15 20:06:50,877 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Time:2
2018-04-15 20:06:50,877 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Targets: []
2018-04-15 20:06:50,877 [DEBUG|PoliceForce/1514404225|TestSearchForFire] unsearchedBuildingIDs:[32773, 18565, 26502, 23305, 14860, 13454, 26255, 13072, 34320, 22418, 21524, 17556, 18964, 26519, 19100, 22559, 16928, 25632, 16545, 29730, 13733, 16037, 11302, 20651, 13099, 36011, 10924, 12077, 9902, 18351, 15792, 14513, 17202, 26550, 11064, 15928, 13625, 16955, 18622, 15819, 24012, 12108, 25550, 29649, 28754, 9683, 22355, 16982, 18262, 18648, 20570, 24666, 29146, 15711, 19815, 17256, 23278, 24178, 26228, 18548, 24694, 10870, 12278, 34295, 26872, 15738, 16379]
2018-04-15 20:06:50,877 [DEBUG|PoliceForce/1514404225|TestSearchForFire] best path is:[4551, 2877, 32781, 32782, 32784, 32783, 4974, 12352, 32773]
2018-04-15 20:06:50,877 [DEBUG|PoliceForce/1514404225|TestSearchForFire] choosed:4974
2018-04-15 20:06:54,800 [DEBUG|PoliceForce/1514404225|TestSearchForFire] Time:3
2018-04-15 20:06:54,800 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Time:3
2018-04-15 20:06:54,801 [DEBUG|PoliceForce/1514404225|TestRoadDetector] Targets: []
